Date,Close,chg(close),Low,chg(low),High,chg(high),MA,Exponential_Smoothing
2021-01-04 23:58:00,50.23,50.23,49.97,49.97,51.88,51.88,50.23,50.390142485878854
2021-01-05 23:58:00,51.87,1.64,50.01,0.04,52.26,0.38,51.87,50.455426789223026
2021-01-06 23:58:00,52.02,0.15,51.21,1.2,52.37,0.11,52.02,51.879893551519245
2021-01-07 23:58:00,52.2,0.18,51.89,0.68,52.34,-0.03,52.2,51.83750475609304
2021-01-08 23:58:00,53.33,1.13,52.31,0.42,53.61,1.27,53.33,51.81313356517751
2021-01-11 23:58:00,53.33,0.0,52.66,0.35,53.48,-0.13,53.33,53.474698329787095
2021-01-12 23:58:00,54.12,0.79,53.35,0.69,54.23,0.75,54.12,53.2716615011611
2021-01-13 23:58:00,54.13,0.01,53.75,0.4,54.82,0.59,54.13,54.15897106273993
2021-01-14 23:58:00,54.43,0.3,53.68,-0.07,54.56,-0.26,54.43,54.3408360784138
2021-01-15 23:58:00,53.53,-0.9,52.97,-0.71,54.5,-0.06,53.53,54.58732404621351
2021-01-19 23:58:00,53.89,0.36,52.93,-0.04,53.93,-0.57,53.89,53.480699667990145
2021-01-20 23:58:00,53.82,-0.07,53.5,0.57,54.25,0.32,53.82,53.497927253159354
2021-01-21 23:58:00,53.79,-0.03,53.41,-0.09,53.83,-0.42,53.79,54.097599935634776
2021-01-22 23:58:00,53.22,-0.57,52.61,-0.8,53.39,-0.44,53.22,53.74978169044066
2021-01-25 23:58:00,53.56,0.34,53.1,0.49,53.51,0.12,53.56,53.41226479888938
2021-01-26 23:58:00,53.36,-0.2,53.19,0.09,53.76,0.25,53.36,53.75118034466699
2021-01-27 23:58:00,53.41,0.05,52.89,-0.3,53.82,0.06,53.41,53.570754629026894
2021-01-28 23:58:00,52.91,-0.5,52.88,-0.01,53.84,0.02,52.91,53.26097072229563
2021-01-29 23:58:00,52.79,-0.12,52.75,-0.13,53.59,-0.25,52.79,52.60249519741332
2021-02-01 23:58:00,53.92,1.13,52.5,-0.25,53.99,0.4,53.92,53.0825684569017
2021-02-02 23:58:00,54.8,0.88,54.02,1.52,55.11,1.12,54.8,53.75241532764648
2021-02-03 23:58:00,55.51,0.71,54.91,0.89,55.71,0.6,55.51,54.81680812555326
2021-02-04 23:58:00,55.83,0.32,55.36,0.45,55.97,0.26,55.83,55.640507049171134
2021-02-05 23:58:00,56.27,0.44,56.0,0.64,56.53,0.56,56.27,55.97616405141009
2021-02-08 23:58:00,57.36,1.09,56.58,0.58,57.4,0.87,57.36,56.07040482135696
2021-02-09 23:58:00,57.7,0.34,57.26,0.68,57.78,0.38,57.7,56.87000859051219
2021-02-10 23:58:00,57.95,0.25,57.53,0.27,58.03,0.25,57.95,57.92110214218551
2021-02-11 23:58:00,57.64,-0.31,57.41,-0.12,57.95,-0.08,57.64,57.87235171557409
2021-02-12 23:58:00,58.45,0.81,57.11,-0.3,58.66,0.71,58.45,57.79918049205388
2021-02-16 23:58:00,59.2,0.75,58.66,1.55,59.34,0.68,59.2,58.58522029376965
2021-02-17 23:58:00,59.66,0.46,58.89,0.23,60.0,0.66,59.66,59.298857730670484
2021-02-18 23:58:00,59.35,-0.31,58.92,0.03,60.46,0.46,59.35,59.45291807634878
2021-02-19 23:58:00,58.73,-0.62,58.19,-0.73,59.38,-1.08,58.73,59.01490332515764
